Name,Area,Full_Address,Dining,Veg,zomato_reviews,zomato_ratings,Delivery Reviews,KnownFor,PopularDishes,PeopleKnownFor,AverageCost
KFC,"Park Street Area, Kolkata","20K, Park Street Area, Kolkata",1,0,2005,4.2,17200,,"Strawberry Storm, Crispy Chicken Bucket, Meal Box, Chicken Popcorn, Chicken Strips, Sundae","Nice Crowd, Cute Little Place, Cozy Ambiance, Elegantly Decorated, Great Recommendations, Prime Location",400
Pizza Hut,"Park Street Area, Kolkata","20 K, Sir William Jones Sarani, Park Street Area, Kolkata",1,0,120,3.9,5047,,,"Atmosphere, Student Crowd, Best Food under Best Budget, Elaborate Menu, Customizable Food, Young Crowd",600
Kwality Wall’s Frozen Dessert and Ice Cream Shop,"Park Circus Area, Kolkata","12, Ground Floor, Gora Chand Road, Park Circus Area, Kolkata",0,1,0,4.5,2174,,,,100
Kasturi Restaurant,"New Market Area, Kolkata","7A, Mustaque Ahmed Street, New Market Area, Kolkata",1,0,1114,4,8666,Dhakai cuisine to satisfy the tastebuds with a combination of Bengali and Bangladeshi dishes,"Kachu Pata Chingri, Bhetki Bhapa, Chitol Muitha, Chicken Dak Bunglow, Prawn Malai Curry, Vetki Paturi","Authentic Food, Chair, Family Place, Packed on Weekends, Authentic Taste, Quick Service",800
Monginis,"College Street, Kolkata","131, Ground Floor, Chittaranjan Avenue, College Street, Kolkata",0,0,0,4,206,,,,50
Haldiram's Prabhuji,"Bara Bazar, Kolkata","7, Jagmohan Mullick Lane, Bara Bazar, Kolkata",1,1,367,4,8856,,"Soan Papdi, Barfi, Hot Gulab Jamun, Chole, Chaat, Dosa","Hygienic Place, Good Place, Good Food, Prices, Staff, Quality",300
Pocket Meal 99,"Bhawanipur, Kolkata","54, Harish Mukherjee Road, LP UG, Borough VII, Bhowanipur, Bhawanipur, Kolkata",0,0,0,3.8,5821,,,"Portion, Quantity, Good Food, Price, Packaging",200
Burger King,"New Market Area, Kolkata","1, Ground Floor, Humayun Place, New Market Area, Kolkata",1,0,418,4.1,2711,,"French Fry, Peri Peri Fries, Shake, Fries, Burger","Perfect Presentation, Tamper Proof Packaging, Good Wifi, Wonderful Presentation, Best Place, Contactless Delivery",350
Oudh 1590,"Desapriya Park, Kolkata","Shop 23/B, Desapriya Park, Kolkata",1,0,6454,4.1,7649,,"Awadhi Dum Aloo, Murg Handi Biryani, Gosht Roghan Josh, Badam Sherbet, Galouti Kebab Platter, Gelawati Kebab","Authentic Ambience, Value for Money Experience, Dress Code, Elegant Decor, Impressive Decor, Royal Ambience",1200
Balaram Mullick & Radharaman Mullick Sweets,"Theatre Road, Kolkata","5/2, Ground Floor, Poonam Building, Anandilal Poddar Sarani, Theatre Road, Kolkata",0,0,6,4.3,5158,The pioneers of baked rossogolla,"Baked Sandesh, Mango Souffle, Mango Doi, Baked Rosogolla, Aam Doi, Bengali Sweets","Packing, Worth the Money, Prices, Food",300
Kabuliwala,"Ballygunge, Kolkata","13/5, Anil Maitra Road, Ballygunge, Kolkata",0,0,0,4,418,,,,200
Haldiram's,"Bara Bazar, Kolkata","11B, Ground Floor, Dr. Ram Manohar Lohia Sarani, Ward 22, Bara Bazar, Kolkata",1,1,26,3.9,55,,,,300
Jai Jawan Stall,"Tara Tala, Kolkata","1, Near CESC, Taratala Road, Tara Tala, Kolkata",1,0,1017,4,47400,,"Chicken Chowmein, Egg Roll, Rolls, Chicken Fried Rice, Thali, Fish Fry","Inexpensive, Lip Smacking Food, Good Delivery, Mixed Rice, Great Recommendations, Fast Delivery",500
Subway,"Park Street Area, Kolkata","57A, Park Mansion, Park Street Area, Kolkata",1,0,476,3.9,10800,,"Aloo Patty, Wraps, Sandwiches, Salads","Elegantly Decorated, Great Ambiance, Polite Staff, Low Price, Prompt Service, Best Place",400
Mama Mia!,"Entally, Kolkata","79/28, Acharya Jagadish Chandra Bose Road, Entally, Kolkata",0,0,0,4.4,1421,,,,300
Gupta Brothers,"Elgin, Kolkata","82A, Sambhunath Pandit Street, Elgin, Kolkata",0,1,2,4.1,8643,,"Rose Milk, Chamcham, Dhokla, Sandesh, Dahi Vada, Kulfi","Cozy Ambiance, Great Recommendations, Combos, Prompt Service, Good Taste, Best Place",450
Haji Saheb,"Park Circus Area, Kolkata","26, Circus Avenue, Park Circus Area, Kolkata",1,0,970,4.1,9077,Reasonably prices North Indian dishes,"Prawn Butter Masala, Chicken Lababdar, Mughlai Food, Firni, Mutton Kosha, Chicken Tandoori","Good for Large Groups, Affordable, Gastronomical Experience, Family Place, Good Value, Courteous Staff",800
La Pino’z Pizza,"Camac Street Area, Kolkata","10, Wood Street, Park Street, Shakespere Sarani, Camac Street Area, Kolkata",1,0,73,3.8,9252,,"Pizza Del Duca, Tandoori Pizza, Paneer Pizza, Pie, Mushroom, White Sauce Pasta","Hygienic Food, Variety of Pizza, Tamper Proof Packaging, Yummy Food, Mouth Watering Food, Contactless Delivery",800
Shimla Biryani,"Topsia, Kolkata","11/1, Topsia, Kolkata",1,0,789,4.1,31800,,"Murg Reshmi Kabab, Chicken Chaanp, Phirni, Rolls, Kebab","Seating Inside, Good for Large Groups, Courteous Service, Cleanliness, Good Quantity, Portion Size",750
NIC - Natural Ice Creams,"Bhawanipur, Kolkata","Shop 23/4 A, Ray Street, Near Leap Years Preschool, Bhawanipur, Kolkata",0,0,0,4.5,3128,,,,100
The Biryani Inc.,"Kasba, Kolkata","15A, Swinhoe Lane, New Ballygunge, Kasba, Kolkata",0,0,0,4.1,8899,,"Tangdi Chicken, Tangdi Kabab, Chicken Tikka Biryani, Phirni, Mutton Kasha, Raita","Best Food, Tasty, Worth the Money, Good Taste, Food Presentation, Combo",200
Al Baik Fast Food Corner,"Bara Bazar, Kolkata","54, Phears Lane, Bara Bazar, Kolkata",0,0,0,3.9,79600,,"Chicken Afghani, Biryani Rice, Paneer Roll, Lachha Paratha, Rumali Roti, Chicken Kebab","Best Food, Good Taste, Contactless Delivery, Tamper Proof Packaging, Great Taste, Worth the Money",100
Crazy 4 Cakes,"Park Street Area, Kolkata","7/1, Russel Street, Park Street Area, Kolkata",0,1,0,4.2,1017,,,"Cute Packaging, Extensive Menu, Food Presentation, Worth the Money, Customizable Food, Timely Service",200
Koshe Kosha,"Park Street Area, Kolkata","1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata",1,0,637,4.1,2572,Authentic Bengali food in an ambiance that pulls out the hidden Bengali in everyone!,"Saag Bhaja, Moshla Murgi, Aam Pora, Gondhoraj Ghol, Vetki Paturi, Aam Doi","Comfortable Seating Area, Relaxed Atmosphere, Good Staff, Awesome Food, Nice Ambience, Decoration",800
Behrouz Biryani,"Ballygunge, Kolkata","29, 1st Lane, Ballygunge, Kolkata",0,0,0,4.2,3454,,,"Proper Packaging, Packing, Worth the Money, Timely Service, Great Portions, Flavour",400
Kareem's,"Park Street Area, Kolkata","55 B, Mirza Ghalib Street, Park Street Area, Kolkata",1,0,1918,4.2,8959,,"Matka Murgh, Karachi Mutton, Handi Gosht Biryani, Murgh Lahori, Chicken Kebab Platter, Lahori Chicken","Pocket Friendly Restaurant, Relaxed Atmosphere, Good for Large Groups, Quality of Food, Family Place, Polite Behaviour",1000
6 Ballygunge Place,"Ballygunge, Kolkata","6, Ballygunge Place, Ballygunge, Kolkata",1,0,3855,4.3,3219,Quintessential Bengali feel in terms of food and ambiance,"Lal Murgi, Bhetki Roll, Doi Murgi, Prawn Gravy, Doi Ilish, Begun Basanti","Location of the Restaurant, Buffet Variety and Quality, Authentic Food, Courteous Service, Rooftop Ambience, Themed Decor",600
Royal Indian Restaurant,"Park Circus Area, Kolkata","24A, Syed Amir Ali Avenue, Park Circus Area, Kolkata",1,0,1884,4.1,18100,Mughlai Biryani and North Indian Curries.,"Keema Mutter, Mutton Chaanp, Dhania Chicken, Mutton Haleem, Mutton Pasinda, Sahi Tukra","Comfortable Seating Area, Relaxed Atmosphere, Family Place, Family Restaurant, Packed on Weekends, Cheap",700
Azad Hind Dhaba,"Bhawanipur, Kolkata","17, Ground Floor, Harish Mukherjee Road, Bhawanipur, Kolkata",1,0,73,3.8,2230,,,"Elaborate Menu, Customizable Food, Fresh Food, Good Quality, Quantity",700
Bhojohori Manna,"Esplanade, Kolkata","11A, Sido Kanhu Dahar, Esplanade, Kolkata",1,0,691,3.9,295,Bengali Food,"Jumbo Ilish, Pabda Shorshe, Chicken Dak Bunglow, Aam Doi, Dab Chingri, Katla Kalia","Gastronomical Experience, Good for Large Groups, Best Places, Food Quantity, Environment, Menu",700
Bhikharam Chandmal,"Chowringhee, Kolkata","1, A.J.C. Bose Road, Chowringhee, Kolkata",1,0,85,3.3,411,,,"Price, Service, Ambience, Quantity",300
Jai Hind Dhaba,"Paddapukur, Kolkata","41/1A, Sarat Bose Road, Paddapukur, Kolkata",1,0,2895,4,16000,,"Tangdi Chicken, Authentic Punjabi Food, Panneer Butter Masala, Egg Tarka, Roomali Roti, Rumali Roti","Very Cheap, Desi Vibes, Dhaba Feel, Late Night Delivery, Pocket Friendly, Friendly Staffs",450
6 Ballygunge Place Thali,"Kasba, Kolkata","37/1, Rajdanga Main Road, Kasba, Kolkata",1,0,865,4.1,4857,Quintessential Bengali Feel In Terms Of Food And Ambiance,"Chingri Thali, Rohu Fish, Tiger Prawn, Gondhoraj Ghol, Alu Bhaja, Authentic Bengali Food","Themed Decor, Ample Seating Area, Pocket Friendly Place, Family Place, Service Charge, Good Value",800
Hatari,"Esplanade, Kolkata","Eden Garden Road, Netji Indoor Stadium, Eden Gardens, Esplanade, Kolkata",0,0,0,4.3,541,,,,300
India Restaurant,"Kidderpore, Kolkata","34, Karl Marx Sarani, Kidderpore, Kolkata",1,0,4571,4.2,26000,,"Pineapple Tandoori, Full Mutton Biryani, Kacchi Biryani, Mutton Galawti Kebab, Mutton Kadhai, Mutton Dakbangla","Classy Decor, Beautiful Interior, Good for Large Groups, Infrastructure, New Experience, Affordable",800
Lazeez Biryani,"Entally, Kolkata","1/A, Convent Road, Entally, Kolkata",1,0,693,3.7,63400,,"Chicken Thigh, Chaap, Chicken Biriyani, Mutton Biriyani, Rice","Drive through, Economical, Comfort Food, Polite Staff, Cutlery, Prompt Service",300
Denzong Kitchen,"Hazra, Kolkata","31A, Shyama Prasad Mukherjee Road, Hazra, Kolkata",1,0,910,3.9,11500,,"Chicken Kothey, Chicken Shyapta, Chicken Schezwan Noodles, Dragon Chicken, Chicken Steamed Momo, Pan Fried Momo","Not very Crowded, Inexpensive, Cozy Ambiance, Great Recommendations, Polite Staff, Low Price",500
Baskin Robbins,"Bhawanipur, Kolkata","2, Ashutosh Mukherjee Road, Bhawanipur, Kolkata",1,1,60,4.3,858,,,,300
Adil Biryani Centre,"Ballygunge, Kolkata","38, Shamsul Huda Road, Ballygunge, Kolkata",0,0,0,4.1,28800,,,"Great Recommendations, Portion Size, Good Taste, Worth the Money, Great Portions, Good Food",100
New Paul Dhaba Veggie Hub,"Maniktala, Kolkata","167A, Vivekanand Road, Maniktala, Kolkata",1,0,444,4,24200,,"Shahi Paneer, Veg Biriyani, Chana Masala, Malai Kofta, Dal Makhni, Thali","Cashless Payments, Cozy Ambiance, Nice Taste, Polite Staff, Nice Food, Packing",300
Bhikharam Chandmal Rajuji,"Bara Bazar, Kolkata","P 11, Lower Ground Floor, C I T Scheme L, Bara Bazar, Kolkata",0,0,0,4.3,152,,,,100
Keventers - Milkshakes & Desserts,"New Market Area, Kolkata","1, Humayan Place, Ground Floor, New Empire Cinema Building, New Market Area, Kolkata",0,0,1,4.2,268,,,,400
Ebowl,"Esplanade, Kolkata","3A, 1st Floor, Jawaharlal Nehru Road, Esplanade, Kolkata",0,0,0,4,2059,,,,200
I Love Haldiram,"Park Street Area, Kolkata","12, Russel Street, Near Bombay Dying, Park Street Area, Kolkata",1,1,111,3.8,2888,,,,400
Mezban,"Wellesley, Kolkata","Ground Floor, B/6A/H/4, Muzaffar Ahmed Street, Ward 61, Wellesley, Kolkata",1,0,1356,3.8,57600,,"Keema Mutter, Haleem, Mughlai Food, Phirni, Rumali Roti, Chaap","Gastronomical Experience, Comfortable Seating Area, Good for Large Groups, Packed on Weekends, Good Food Quality, Nice Service",600
Tewari Confectioners,"Minto Park, Kolkata","233/5, A.J.C. Bose Road, Kandhari House, Minto Park, Kolkata",1,1,186,4.2,504,,,,200
Barbeque Nation,"Wellesley, Kolkata","24, 1st Floor, Park Center Building, Wellesley, Kolkata",1,0,5619,3.9,1507,An indoor barbecue concept venue offering a 'Do-It-Yourself' grilling experience at every table,"Mangalorean Fish Curry, Sheer Korma, Chicken Cashew, Pan Kulfi, Mutton Saag, Cajun Potatoes","Cost Suits the Pocket, Live Grill, Complimentary Drinks, Service is Great and Fast, Wait Staff, Efficient Service",1800
Taj Biryani,"Park Circus Area, Kolkata","3A, Rammohan Bera Lane, Park Circus Area, Kolkata",1,0,35,3.7,2002,,,,300
Hindusthan Sweets,"Ballygunge, Kolkata","1B, Leela Roy Sarani, Ballygunge, Kolkata",1,1,55,4.2,553,,,,200
Dhaba Junction,"Ballygunge, Kolkata","51, Near Deys Medical Bus Stand, Bondel Road, Ballygunge, Kolkata",1,0,188,3.9,15600,,,"Nice Foods and Great Service, Plenty of Vegetarian Options, Elegantly Decorated, Prompt Service, Good Taste, Worth the Money",400
Starbucks Coffee,"Park Street Area, Kolkata","57 A, Ground Floor, Park Mansions, Park Street Area, Kolkata",1,0,1437,4.2,2240,,"Java Chip Frappuccino, White Chocolate Mocha, Frappuccino, Chicken Salad Sandwich, Hot Coffee, Latte","Charging Ports, Great for Birthdays, Quiet, Large Servings, Good Price, Fancy Crowd",600
ATS  Arun Dhaba,"Theatre Road, Kolkata","27, Shakespeare Sarani, Outram Street, Theatre Road, Kolkata",1,1,252,4,13400,,"Kachori Sabzi, Tawa Roti, Chai, Paneer Butter Masala, Gulab Jamun","Very Cheap, Pocket Friendly, Nice Food, Good Taste, Tasty, Good Food",350
Sher-e-Punjab,"Theatre Road, Kolkata","7/1A, A.J.C. Bose Road, Near Kala Mandir, Theatre Road, Kolkata",1,0,307,3.9,3190,,"Butter Chicken, Chicken Tandoori, Rolls, Kebabs, Fried Rice","Economical, Polite Staff, Tandoori, Location, Good Place, Ambiance",500
Shiraz Golden Restaurant,"Park Street Area, Kolkata","135, Park Street, Ground And Mezanine Floor, Ward 61, Park Street Area, Kolkata",1,0,2615,4.1,9527,Biryani. Enough said!!,"Brain Masala, Chicken Chaanp, Mutton Pasinda, Mutton Chanp, Mutton Tikia, Tandoori Prawns","Gastronomical Experience, Relaxed Atmosphere, Pocket Friendly Place, Comfortable Seating Area, Servicing, Authentic Taste",800
Biryani By Kilo,"Golpark, Kolkata","23, 13, Ground Floor, Kankulia, Gariahat Road, Near Kotak Mahindra Bank, Golpark, Kolkata",1,0,196,4.1,4299,,"Matka Phirni, Wonderful Dessert, Chicken Ghee Roast, Tawa Fish, Seekh Kebab, Non Veg Platter","Quantity of Portion, Awesome Packaging, Awesome Spot to Hangout, Very Affordable, Fantastic Decoration, Clean and Hygienic Place",1000
Adil Biryani Restaurant,"Park Circus Area, Kolkata","18 A, Syed Amir Ali Avenue, Opposite Park Circus Tram Depot, Park Circus Area, Kolkata",0,0,132,4,5564,,,,400
Dariole,"Theatre Road, Kolkata","42 A, Shakespeare Sarani, Theatre Road, Kolkata",1,0,253,4.3,1967,,"Mocha Cake, Salted Caramel Pastry, Chocolate Cup, Blueberry Cheesecake, Cupcakes, Pastries","Coffee Date, Fancy Crowd, Cafe, Great Food, Prices, Decor",300
The Belgian Waffle Co.,"Elgin, Kolkata","7B, DR Sishir Kumar Bose Sarani, Elgin, Kolkata",1,0,682,4.2,2211,,"Blueberry Cream Cheese Waffle, Chocolate Overload, Red Velvet Waffle, Chocolate Waffle, Waffles, Shakes","Great Place, Flavour, Staff, Menu, Good Place, Service",300
Kathleen,"New Market Area, Kolkata","12, Free School Street, New Market Area, Kolkata",0,0,0,4.2,365,,,,50
Machhli Baba Fries,"Chandni Chowk, Kolkata","71, First Floor, Bentinck Street, Faraday House, Chandni Chowk, Kolkata",0,0,0,4.2,1314,,,,150
Rayyan Biryani,"Taltala, Kolkata","6A, Muzaffar Ahmed Street, Taltala, Kolkata",1,0,907,3.6,44400,,,"Nice Crowd, Drive through, Comfort Food, Elegantly Decorated, Great Recommendations, Pocket Friendly",300
New Arsalan Biryani,"Picnic Garden, Kolkata","194/2E, Picnic Garden, Kolkata",0,0,0,3.9,998,,,,100
Natural Ice Cream,"Park Street Area, Kolkata","77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata",1,1,2419,4.5,9632,,"Chiku Shake, Chocobite, Choco Bite, Sitafal Ice Cream, Coffee Walnut, Chocolate Almond","Bank for the Buck, Totally Worth it, Pretty Decor, Table Service, Pretty Place, Pocket Friendly",300
Saptapadi,"Hindustan Park, Kolkata","49 B, Purna Das Road, Hindustan Park, Kolkata",1,0,1720,4.1,748,,"Moori Fish Stick, Ice Cream Patishapta, Jumbo Thali, Kancha Lonka Murgi, Luchi Chholar Dal, Kosha Murgi","Budget is Also Friendly, Fusion Menu, Great Food Great Service, Fusion Food, Fusion Dishes, Song",850
Gangotri Sweets & Snacks,"Ballygunge, Kolkata","P17A, Ashutosh Choudhury Avenue, Near Birla Mandir, Ballygunge, Kolkata",0,1,135,4.2,12400,,"Badam Barfi, Club Kachori, Rasmalai, Dhokla, Sweets, Gulab Jamun","Pocket Friendly, Great Recommendations, Cleanliness, Contactless Delivery, Packing, Price",200
Santa Delivers,"Kasba, Kolkata","15 Swinhoe Lane, Kasba, Kolkata",0,0,0,4.1,13900,,"Malai Kofta, Chicken Butter Masala, Kulcha, Butter Naan, Kebabs, Rolls","Quick Delivery, Awesome Food, Amazing Food, Excellent Food, Tasty Food, Nice Food",200
The Yellow Straw,"Minto Park, Kolkata","7/1, Central Plaza, Sarat Bose Road, Opposite HDFC Bank, Minto Park, Kolkata",1,0,120,4.2,3923,,"Fruit Juices, Shakes, Sandwich, Pasta, Pizza","Polite Staff, Environment, Menu, Prices, Quantity, Service",250
Flurys,"Park Street Area, Kolkata","18, Park Street Area, Kolkata",1,0,4779,4.4,5173,The legendary breakfast place on the Calcutta famous Park Street corner.,"Viennese Coffee, Bacon Strip, Chocolate Cube, Almond Pastry, Baba Cake, Moccachino","Breakfast Joint, Classy Place, Classy Decor, Courteous Service, Luxury, Peaceful Place",300
Sharma Snacks,"Kasba, Kolkata","39/1, Bose Pukur Road, Kasba, Kolkata",1,0,89,3.9,13800,,"Samosa Chatni, Hinger Kochuri, Jalebi, Lassi, Thali, Tea","Perfect Presentation, Young Crowd, Great Portions, Elaborate Menu, Timely Service, Customizable Food",300
Taj Biryani,"Entally, Kolkata","87, Near Entally Market, Acharya Jagadish Chandra Bose Road, Entally, Kolkata",1,0,418,3.9,13900,,,"Pocket Friendly, Great Recommendations, Worth the Money, Great Portions, Timely Service",350
Sharma Jalpan,"Bhawanipur, Kolkata","22, Justice Dwarkanath Road, Bhawanipur, Kolkata",1,1,42,3.9,1939,,,,150
Arman Biryani,"Picnic Garden, Kolkata","103/1, Picnic Garden, Kolkata",1,0,463,3.9,16400,,,"Economical, Casual Seating Area, Cordial Staff, Great Recommendations, Amazing Food, Great Ambiance",300
Kaligodam,"Bara Bazar, Kolkata","16, Mallick Street, Jorasanko, Bara Bazar, Kolkata",0,0,0,4.1,3697,,"Samosa, Dosa, Sweets, Chutney","Customizable Food, Elaborate Menu, Fresh Food, Good Quality, Price",50
Roll It Out,"Park Street Area, Kolkata","2, Middle Row, Park Street Area, Kolkata",1,0,142,3.6,4277,,"Lunch Meal, Spicy Food, Hakka Noodles, Soup, Fried Rice","Pocket Friendly, Weekend Brunch, Good Wifi, Customizable Food, Student Crowd, Elaborate Menu",350
Banchharam's,"Golpark, Kolkata","19, Gariahat Road, Golpark, Kolkata",0,1,0,4.1,592,,"Sandesh, Tart, Samosa, Sweets",,50
Chaccha Jaan Biryani Aur Kebab Waale,"Park Circus Area, Kolkata","217, Ground Floor, Park Street, Park Circus Area, Kolkata",0,0,0,3.8,55,,,,200
Momo I Am,"Golpark, Kolkata","43, Ballygunge Gardens, Golpark, Kolkata",1,0,1754,4.2,5440,,"Vegetable Thukpa, Kamikaze, Chicken Kothay, Momo Platter, Tempura Fish, Chicken Shyapta","Family Favorite, Bright Lights, Affordable Rate, Themed Decor, Good Vibe, Bowls",600
BarBQ,"Park Street Area, Kolkata","43-47-55, Park Street Area, Kolkata",1,0,8326,4.2,18000,,"Cashew Nut Chicken, Masala Prawn, Sliced Chilli Pork, Opposite Flurys, Pork Manchurian, Schezwan Chilli Chicken","Price Vs Portion Size, Huge Seating Area, North Indian, Large Portions, Attentive Service, Efficient Service",1200
Kreamz,"Kidderpore, Kolkata","1/2, Ram Kamal Street, Kidderpore, Kolkata",0,0,0,3.7,23,,,,100
Kela Patta,"Picnic Garden, Kolkata","143/105A, Picnic Garden, Kolkata",0,0,0,4,3771,,,"Good Taste, Extensive Menu, Worth the Money, Great Portions, Good Quality",100
Ek Din Prati Din,"New Alipore, Kolkata","19/6, Plot 112, Sahapur Colony, New Alipore, Kolkata",1,0,80,3.6,3566,,,,300
Tea Junction,"Park Street Area, Kolkata","71, Park Plaza, Park Street, Park Street Area, Kolkata",0,0,0,4.4,361,,,,300
The French Loaf,"Elgin, Kolkata","Ground Floor, Vasundhara Building, 2/7, Elgin, Kolkata",1,0,377,4.1,1367,,"Blueberry Cheesecake, Pastries, Breads, Brownies, Hot Chocolate, Sandwiches","Perfect Place, Nice Place, Cafe, Prices, Staff, Ambiance",400
UBQ By Barbeque Nation,"Park Street Area, Kolkata","1st Floor, Park Center, Building 24, Park Street Area, Kolkata",0,0,0,3.8,3965,,,"Proper Packaging, Extensive Menu, Worth the Money, Great Portions, Timely Service, Delicious Food",300
LunchBox - Meals and Thalis,"Ballygunge, Kolkata","29, 1st Lane, Near Repose Nursing Home, Ballygunge, Kolkata",0,0,0,4.1,559,,,,200
Kochi Kalapata,"Taltala, Kolkata","8, Puran Chand Avenue, Taltala, Kolkata",1,0,30,4.2,775,,,"Family Crowd, Customizable Food, Elaborate Menu, Fresh Food, Good Quality, Value for Money",450
Banana Leaf,"Southern Avenue, Kolkata","P 264C, Hemanta Mukhopadhyay Sarani, Near Vivekananda Park, Southern Avenue, Kolkata",1,1,335,4,2644,,"Kesari Halwa, Rava Kesari, Mini Idlis, Vada Sambar, Filtered Coffee, Healthy Breakfast","Family Place, Reasonable Rate, Breakfast, Staff Behavior, Cleanliness, Family Crowd",400
Ganguram,"Bhawanipur, Kolkata","84/A, Sambhunath Pandit Street, Bhawanipur, Kolkata",0,1,1,3.6,138,,,,200
Abhinandan,"Bara Bazar, Kolkata","23, Burtolla Street, Near Satyanarayan Park, AC Market, Bara Bazar, Kolkata",0,0,0,3.6,6576,,"Dum Aloo Kashmiri, Kachori Sabzi, Veg Cutlet, Paneer Roll",,50
Sharma Sweets,"Desapriya Park, Kolkata","177, Sarat Bose Road, Desapriya Park, Kolkata",0,1,0,4.2,981,,"Kachori Sabzi, Potato Curry, Hot Gulab Jamun, Lassi, Sweets","Price, Quality, Service, Food",100
Noodle King,"Picnic Garden, Kolkata","44/7A, C.N. Roy Road, Picnic Garden, Kolkata",0,0,0,3.8,2011,,,"Cute Packaging, Great Taste, Food Presentation, Worth the Money, Great Portions, Extensive Menu",150
Thakur Mahal,"Bara Bazar, Kolkata","7, Babulal Lane, Bara Bazar, Kolkata",1,0,414,3.9,5083,,,"Great Ambiance, Worth the Money, Quality Food, Good Food, Price, Service",300
Chai Break,"Elgin, Kolkata","1, Ground Floor, Allenby Road, Elgin, Kolkata",1,1,69,3.8,602,,,"Hookahs, Good Wifi, Student Crowd, Young Crowd, Customizable Food, Elaborate Menu",800
Mainland China,"Ballygunge, Kolkata","3A, Uniworth House, Gurusaday Road, Ballygunge, Kolkata",1,0,2657,4.3,2008,Chinese Flavors That Truly Have a 'Different' Tantalizing Effect on Taste Buds.,"Crispy Spicy Chicken, Crackling Spinach, Mango Souffle, Mango Pudding, Jasmine Tea, Chicken Sui Mai","Intimate Setting, Great for Dates, Sophisticated, Worth the Price, Valet Service, Large Portions",2000
Cafe Coffee Day,"Elgin, Kolkata","Court 13, Binany Building, Woodburn Park, Elgin, Kolkata",1,0,82,3.6,170,,,,500
Thali Gharwali,"Tollygunge, Kolkata","48/33, Swiss Park, Tollygunge, Kolkata",0,1,0,3.7,2493,,,"Customizable Food, Great Portions, Good Quality, Fresh Food, Price, Service",100
